,team,from,to,elo
4383,Bayern,2017-10-19,2017-10-19,1936.24926758
4384,Bayern,2017-10-20,2017-10-21,1932.33239746
4385,Bayern,2017-10-22,2017-10-22,1934.35876465
4386,Bayern,2017-10-23,2017-10-28,1934.35876465
4387,Bayern,2017-10-29,2017-10-31,1937.57446289
4388,Bayern,2017-11-01,2017-11-01,1941.76696777
4389,Bayern,2017-11-02,2017-11-02,1937.26049805
4390,Bayern,2017-11-03,2017-11-04,1941.58605957
4391,Bayern,2017-11-05,2017-11-18,1949.4888916
4392,Bayern,2017-11-19,2017-11-19,1951.95593262
4393,Bayern,2017-11-20,2017-11-21,1951.95593262
4394,Bayern,2017-11-22,2017-11-22,1957.23876953
4395,Bayern,2017-11-23,2017-11-23,1960.77575684
4396,Bayern,2017-11-24,2017-11-25,1959.73974609
4397,Bayern,2017-11-26,2017-12-02,1946.88171387
4398,Bayern,2017-12-03,2017-12-05,1948.39257812
4399,Bayern,2017-12-06,2017-12-06,1957.49780273
4400,Bayern,2017-12-07,2017-12-07,1953.45068359
4401,Bayern,2017-12-08,2017-12-09,1947.8795166
4402,Bayern,2017-12-10,2017-12-13,1950.44042969
4403,Bayern,2017-12-14,2017-12-16,1951.28930664
4404,Bayern,2017-12-17,2017-12-23,1952.96777344
4405,Bayern,2017-12-24,2018-01-12,1952.96777344
4406,Bayern,2018-01-13,2018-01-21,1958.37365723
4407,Bayern,2018-01-22,2018-01-27,1960.01135254
4408,Bayern,2018-01-28,2018-02-03,1962.50195312
4409,Bayern,2018-02-04,2018-02-09,1964.94750977
4410,Bayern,2018-02-10,2018-02-10,1964.94750977
4411,Bayern,2018-02-11,2018-02-13,1966.66931152
4412,Bayern,2018-02-14,2018-02-15,1966.66931152
4413,Bayern,2018-02-16,2018-02-17,1974.51025391
4414,Bayern,2018-02-18,2018-02-20,1976.79833984
4415,Bayern,2018-02-21,2018-02-22,1982.4107666
4416,Bayern,2018-02-23,2018-02-24,1982.26074219
4417,Bayern,2018-02-25,2018-03-04,1973.92102051
4418,Bayern,2018-03-05,2018-03-07,1977.94665527
4419,Bayern,2018-03-08,2018-03-08,1977.94665527
4420,Bayern,2018-03-09,2018-03-10,1975.71728516
4421,Bayern,2018-03-11,2018-03-14,1977.53540039
4422,Bayern,2018-03-15,2018-03-15,1979.29943848
4423,Bayern,2018-03-16,2018-03-18,1981.83361816
4424,Bayern,2018-03-19,2018-03-31,1968.8137207
4425,Bayern,2018-04-01,2018-04-03,1975.10168457
4426,Bayern,2018-04-04,2018-04-04,1979.30383301
4427,Bayern,2018-04-05,2018-04-05,1979.30383301
4428,Bayern,2018-04-06,2018-04-07,1980.93188477
4429,Bayern,2018-04-08,2018-04-11,1984.80834961
4430,Bayern,2018-04-12,2018-04-12,1983.90380859
4431,Bayern,2018-04-13,2018-04-14,1977.30273438
4432,Bayern,2018-04-15,2018-04-21,1979.95910645
4433,Bayern,2018-04-22,2018-04-25,1982.76220703
4434,Bayern,2018-04-26,2018-04-28,1970.93017578
4435,Bayern,2018-04-29,2018-05-01,1972.92272949
4436,Bayern,2018-05-02,2018-05-05,1972.90002441
4437,Bayern,2018-05-06,2018-05-06,1975.03015137
4438,Bayern,2018-05-07,2018-05-12,1975.03015137
4439,Bayern,2018-05-13,2018-07-26,1946.84082031
4440,Bayern,2018-07-27,2018-08-02,1948.01062012
4441,Bayern,2018-08-03,2018-08-09,1947.98718262
4442,Bayern,2018-08-10,2018-08-16,1948.6385498
4443,Bayern,2018-08-17,2018-08-23,1948.98937988
4444,Bayern,2018-08-24,2018-08-24,1948.81811523
4445,Bayern,2018-08-25,2018-08-30,1951.75305176
4446,Bayern,2018-08-31,2018-09-01,1953.04101562
4447,Bayern,2018-09-02,2018-09-15,1958.08813477
4448,Bayern,2018-09-16,2018-09-18,1960.48388672
4449,Bayern,2018-09-19,2018-09-19,1962.54345703
4450,Bayern,2018-09-20,2018-09-20,1974.38757324
4451,Bayern,2018-09-21,2018-09-22,1978.07629395
4452,Bayern,2018-09-23,2018-09-25,1982.86047363
4453,Bayern,2018-09-26,2018-09-28,1974.50268555
4454,Bayern,2018-09-29,2018-10-02,1954.46240234
4455,Bayern,2018-10-03,2018-10-03,1943.07727051
4456,Bayern,2018-10-04,2018-10-04,1948.38952637
4457,Bayern,2018-10-05,2018-10-06,1957.42675781
4458,Bayern,2018-10-07,2018-10-20,1931.4119873
4459,Bayern,2018-10-21,2018-10-23,1935.33398438
4460,Bayern,2018-10-24,2018-10-24,1940.82019043
4461,Bayern,2018-10-25,2018-10-25,1946.53344727
4462,Bayern,2018-10-26,2018-10-27,1945.22509766
4463,Bayern,2018-10-28,2018-11-03,1947.69812012
4464,Bayern,2018-11-04,2018-11-06,1939.76745605
4465,Bayern,2018-11-07,2018-11-07,1939.16564941
4466,Bayern,2018-11-08,2018-11-08,1941.87390137
4467,Bayern,2018-11-09,2018-11-10,1940.95996094
4468,Bayern,2018-11-11,2018-11-24,1931.67492676
4469,Bayern,2018-11-25,2018-11-27,1922.83276367
4470,Bayern,2018-11-28,2018-11-28,1924.82116699
4471,Bayern,2018-11-29,2018-11-29,1920.2878418
4472,Bayern,2018-11-30,2018-12-01,1919.51806641
4473,Bayern,2018-12-02,2018-12-02,1922.93383789
4474,Bayern,2018-12-03,2018-12-08,1922.93383789
4475,Bayern,2018-12-09,2018-12-11,1924.4095459
4476,Bayern,2018-12-12,2018-12-12,1927.83764648
4477,Bayern,2018-12-13,2018-12-13,1925.27050781
4478,Bayern,2018-12-14,2018-12-15,1930.44006348
4479,Bayern,2018-12-16,2018-12-19,1934.31542969
4480,Bayern,2018-12-20,2018-12-22,1936.84094238
4481,Bayern,2018-12-23,2019-01-18,1944.78552246
4482,Bayern,2019-01-19,2019-01-27,1950.48974609
4483,Bayern,2019-01-28,2019-01-30,1952.61621094
4484,Bayern,2019-01-31,2019-02-02,1952.61621094
4485,Bayern,2019-02-03,2019-02-09,1935.65368652
4486,Bayern,2019-02-10,2019-02-13,1938.98168945
